1,7293,2008-12-2,18
1,3675,2015-8-10,36
1,8668,2021-6-3,18
1,9500,2020-11-19,24
1,2921,2020-10-18,30
2,552,2005-6-10,6
2,6961,2011-3-5,12
2,4986,2010-7-8,36
2,2376,2006-9-22,12
2,9919,2019-9-11,36
3,6474,2012-3-4,36
3,7420,2008-9-21,36
3,2553,2008-11-8,18
3,8336,2007-4-18,36
3,6906,2008-11-5,6
4,7589,2016-12-16,12
4,7906,2017-1-10,24
4,7057,2009-4-1,18
4,9704,2013-12-6,36
4,6416,2016-12-8,30
5,7968,2012-1-1,36
5,4491,2016-5-25,36
5,4833,2019-6-27,12
5,528,2011-3-12,18
5,5855,2007-10-28,24
6,8586,2006-3-19,12
6,3269,2020-9-12,30
6,1485,2019-4-21,24
6,1623,2008-8-12,6
6,5707,2015-10-26,6
7,6386,2009-5-18,6
7,783,2019-2-26,30
7,78,2014-8-6,24
7,5445,2007-3-9,18
7,8472,2020-2-19,36
8,3364,2019-4-23,30
8,3740,2017-5-20,36
8,9955,2008-12-12,30
8,6624,2014-9-19,12
8,4619,2009-10-11,6
9,3469,2006-12-10,36
9,7932,2010-1-20,24
9,7336,2006-1-11,36
9,6064,2008-4-28,36
9,3256,2020-10-1,18
10,6836,2008-8-9,24
10,5765,2007-4-4,30
10,9418,2007-5-10,30
10,2285,2017-7-2,30
10,1208,2016-8-6,18
11,9843,2020-1-1,12
11,3477,2010-8-4,18
11,7893,2018-11-7,36
11,7432,2010-1-7,12
11,1423,2015-9-8,6
12,2855,2020-4-20,6
12,3092,2019-12-27,6
12,1559,2012-2-11,36
12,3276,2021-6-8,12
12,2202,2007-4-27,30
13,8460,2016-6-11,6
13,3115,2009-3-28,24
13,1888,2014-10-17,30
13,4105,2010-8-6,36
13,113,2010-8-4,36
14,7588,2007-7-16,30
14,4165,2014-11-16,36
14,2156,2011-10-13,18
14,304,2020-8-13,24
14,1557,2006-11-23,12
15,8671,2010-8-1,30
15,8612,2015-2-25,6
15,8766,2018-10-23,18
15,2096,2015-7-25,6
15,4826,2013-12-26,30
16,3699,2018-4-16,36
16,6921,2020-2-10,30
16,1516,2010-11-4,36
16,1548,2009-1-28,24
16,3169,2014-9-8,30
17,6498,2009-3-18,6
17,9194,2019-10-7,30
17,472,2019-9-16,24
17,8253,2017-1-11,24
17,8101,2021-7-8,24
18,6405,2016-6-24,12
18,4633,2005-9-13,12
18,6492,2015-11-2,24
18,9306,2013-7-8,36
18,1670,2017-11-1,12
19,9219,2012-1-26,12
19,1980,2015-11-12,24
19,7873,2021-9-8,24
19,8637,2007-7-8,30
19,2490,2016-6-11,12
20,219,2009-4-9,36
20,6807,2008-10-28,12
20,7326,2013-6-25,18
20,3363,2015-9-28,36
20,2022,2016-9-21,36
21,6840,2018-12-27,36
21,5119,2020-10-17,36
21,8053,2016-6-23,24
21,4987,2018-11-7,6
21,9767,2011-9-4,30
22,3021,2015-7-22,24
22,1924,2016-3-26,6
22,8721,2006-3-2,18
22,8910,2016-9-19,24
22,9240,2008-12-3,6
23,1077,2011-2-17,12
23,986,2021-12-28,30
23,4094,2013-8-11,30
23,8043,2019-8-28,18
23,4142,2021-3-28,30
24,2191,2006-3-20,18
24,8914,2008-4-21,12
24,469,2016-11-25,30
24,3881,2007-6-16,30
24,1799,2006-11-6,36
25,7949,2007-2-17,30
25,9181,2006-1-18,12
25,6767,2018-10-8,36
25,5283,2009-3-12,6
25,4865,2011-3-1,12
26,9802,2018-9-26,24
26,1926,2018-1-4,30
26,4203,2006-10-2,6
26,500,2008-8-19,30
26,4204,2006-1-1,12
27,1418,2011-12-21,30
27,5959,2021-2-6,36
27,5063,2020-1-12,18
27,3734,2012-7-23,12
27,400,2014-6-5,24
28,8774,2010-7-23,18
28,7495,2012-12-6,36
28,10000,2014-7-12,30
28,4960,2010-4-2,18
28,6495,2016-12-21,24
29,8320,2021-2-23,18
29,5408,2020-5-17,6
29,6250,2013-9-11,6
29,7640,2010-7-27,18
29,7141,2009-11-4,30
30,4519,2013-5-26,24
30,7117,2012-4-19,36
30,1841,2008-6-9,18
30,7978,2009-9-20,30
30,7557,2016-2-9,12
31,6464,2018-7-27,18
31,8696,2013-9-5,18
31,3771,2016-11-1,12
31,3347,2005-6-15,36
31,1334,2019-6-15,6
32,5431,2014-5-2,36
32,672,2005-3-18,12
32,8012,2020-5-15,24
32,3912,2015-10-9,12
32,3377,2011-5-28,6
33,6515,2018-8-1,30
33,8727,2007-3-12,30
33,5284,2017-5-1,6
33,3098,2016-5-10,6
33,9961,2009-9-13,36
34,8240,2018-10-12,12
34,1984,2013-2-16,30
34,7921,2015-11-6,6
34,9602,2007-1-20,24
34,4486,2008-4-12,18
35,7743,2018-12-26,12
35,1801,2019-6-8,6
35,6724,2019-4-21,30
35,9800,2015-10-10,6
35,4389,2019-8-8,30
36,7173,2013-3-1,6
36,4452,2009-7-22,12
36,1372,2007-1-15,6
36,2347,2007-3-19,12
36,1409,2016-4-5,30
37,5522,2009-2-26,36
37,655,2013-8-2,12
37,3956,2007-10-5,12
37,9626,2009-3-3,12
37,9669,2015-11-17,30
38,2643,2021-3-18,36
38,9677,2015-5-8,6
38,3929,2008-8-18,30
38,9964,2011-6-8,30
38,900,2021-6-25,18
39,7480,2021-7-2,24
39,6387,2012-1-23,18
39,5963,2005-2-1,12
39,5875,2021-6-3,18
39,1166,2012-2-18,30
40,7376,2020-3-15,24
40,1392,2014-3-23,24
40,2296,2016-12-14,30
40,9667,2018-1-16,12
40,7162,2010-8-16,12
41,6795,2008-7-4,36
41,3718,2012-7-22,18
41,1920,2019-10-17,18
41,3404,2018-6-3,36
41,3992,2010-4-18,6
42,9868,2014-8-11,6
42,7848,2014-2-1,30
42,6042,2007-5-19,18
42,292,2015-1-11,30
42,9024,2006-9-14,12
43,6243,2019-7-8,24
43,6535,2009-3-1,6
43,4701,2008-2-27,12
43,9465,2008-2-21,12
43,4230,2011-12-24,30
44,7313,2020-4-24,30
44,531,2005-8-1,18
44,3370,2017-4-28,6
44,8333,2008-12-11,12
44,4386,2014-12-7,6
45,1181,2007-4-28,6
45,2099,2020-6-28,6
45,1664,2011-4-7,6
45,1217,2011-12-11,36
45,1391,2016-3-1,30
46,9079,2021-4-27,24
46,7877,2015-4-25,36
46,8874,2007-5-16,30
46,5644,2016-1-12,30
46,6321,2008-10-24,36
47,9468,2006-10-21,30
47,5964,2018-6-8,18
47,4498,2021-6-16,30
47,2227,2015-12-25,6
47,7378,2014-9-17,18
48,5331,2007-3-15,30
48,1605,2006-7-1,24
48,4424,2013-9-28,18
48,6883,2014-5-23,12
48,734,2006-7-9,24
49,8906,2021-4-14,6
49,743,2011-9-15,36
49,9335,2014-4-5,6
49,8740,2006-2-6,36
49,9695,2005-7-2,36
50,1016,2010-10-27,36
50,6614,2009-6-6,18
50,1994,2008-9-10,18
50,8864,2016-1-20,24
50,6186,2009-10-15,24
51,1195,2017-12-6,24
51,510,2006-3-16,18
51,7275,2005-1-14,6
51,2935,2008-2-24,24
51,9892,2013-6-10,36
52,3758,2014-1-1,18
52,5487,2005-1-11,18
52,199,2018-12-2,30
52,6774,2015-8-27,36
52,6306,2014-6-8,12
53,9966,2017-2-10,24
53,2774,2008-11-11,12
53,3715,2020-7-9,24
53,1108,2006-6-12,6
53,6726,2009-11-3,36
54,8193,2009-12-20,36
54,7308,2014-10-19,18
54,7444,2014-12-22,36
54,7569,2008-7-25,30
54,6905,2010-1-15,24
55,6292,2016-8-9,12
55,2263,2007-8-2,24
55,6457,2016-12-24,12
55,5148,2016-8-21,18
55,3729,2021-10-20,24
56,4109,2015-11-20,6
56,966,2012-9-28,24
56,6581,2009-7-13,36
56,7992,2008-7-24,30
56,988,2009-11-19,18
57,9013,2005-7-23,18
57,6275,2015-10-1,36
57,8350,2017-6-19,18
57,7257,2020-5-7,30
57,9268,2017-5-20,18
58,2918,2010-4-1,30
58,3893,2014-7-5,12
58,3460,2009-4-2,30
58,8169,2012-2-1,18
58,1708,2010-9-28,6
59,4190,2013-11-5,12
59,2354,2012-8-2,24
59,2720,2012-10-23,6
59,2557,2009-2-20,24
59,9482,2019-12-18,6
60,1628,2021-9-14,24
60,8598,2006-2-23,30
60,8222,2010-10-18,36
60,7792,2008-10-19,12
60,4795,2015-4-16,30
61,4397,2011-5-26,24
61,8573,2008-10-14,18
61,9681,2015-7-8,12
61,9788,2018-7-21,24
61,2343,2018-2-22,18
62,8450,2006-4-6,18
62,6569,2014-3-12,30
62,8341,2015-11-11,24
62,7054,2005-1-8,12
62,4843,2014-8-27,30
63,1141,2016-11-26,6
63,3560,2007-9-8,18
63,5509,2014-8-10,30
63,471,2021-7-27,12
63,2208,2016-9-9,6
64,453,2017-12-18,24
64,7207,2017-1-23,24
64,6706,2009-7-4,30
64,1008,2018-3-20,18
64,5779,2014-6-21,36
65,719,2014-5-24,24
65,626,2008-1-9,12
65,9926,2006-10-12,30
65,1103,2005-11-23,6
65,5188,2013-6-9,12
66,4482,2021-7-18,24
66,5206,2014-4-18,12
66,4463,2021-8-25,30
66,8767,2006-11-28,30
66,8787,2015-4-11,30
67,496,2014-6-14,24
67,9879,2019-2-23,18
67,5967,2007-4-22,12
67,3952,2012-3-2,24
67,438,2021-6-25,18
68,6748,2019-2-9,30
68,9484,2014-9-16,30
68,8927,2011-9-17,36
68,9769,2009-5-27,12
